system,metric,file,n_points,mean_all,sd_all,min_all,max_all,last_value,mean_last20,sd_last20
nanobody,rmsd,rmsd_0_50ns.xvg,5005,0.341735044055944,0.06881756293982949,5.038e-4,0.569226,0.2463842,0.33206986856287424,0.04630264663961562
nanobody,rmsd_xtal,rmsd_0_50ns_xtal.xvg,5005,0.3415611716083916,0.06868859784922787,0.0372651,0.56861950000000006,0.2474383,0.3320664541916168,0.04631513539037643
nanobody,rg,gyrate_0_50ns.xvg,5005,3.405863535064935,0.03152146061192801,3.307386,3.511982,3.404399,3.4020886596806386,0.03634379125960625
nanobody,rmsf,rmsf_0_50ns.xvg,546,0.1844038461538462,0.07396102819459706,0.0783,0.5172,0.5172,0.26613783783783784,0.08937988390119807
nanobody,sasa,sasa_0_50ns.xvg,5005,276.7397278721279,4.3743870219743926,262.661,291.932,275.173,273.6174910179641,2.566977688637982
nanobody,sasa_residue,sasa_residue_0_50ns.xvg,546,0.5068424908424909,0.4560151262061711,0,1.97,1.367,0.49298198198198195,0.4459668349263406
nanobody,mindist,mindist_0_50ns.xvg,5005,0.16845833190809192,0.012797945947140484,0.1377172,0.2363914,0.151532,0.17112274890219561,0.01147177397002854
nanobody,contacts,contacts_0_50ns.xvg,5005,754.5520479520479,136.82941097635086,306,1213,757,742.0748502994012,75.56420737882954
nanobody,hbonds,hbonds_0_50ns.xvg,5005,4.042357642357643,1.7100481350724057,0,10,5,3.63373253493014,1.2145388983411674
nanobody,rmsf_chain_antigen,rmsf_0_50ns_Chain_A.xvg,424,0.1517313679245283,0.050283110842005575,0.0619,0.4134,0.2982,0.15035,0.04864269427038713
nanobody,rmsf_chain_binder,rmsf_0_50ns_Chain_B.xvg,122,0.10898032786885246,0.05337954020304323,0.0409,0.3111,0.3111,0.13572692307692308,0.06999029965755145
antibody,rmsd,rmsd_0_50ns.xvg,5005,1.0001488462337653,0.4117123009305314,5.005e-4,1.7158687,1.3381066,1.4196025423153693,0.08052042748636183
antibody,rmsd_xtal,rmsd_0_50ns_xtal.xvg,5005,0.9991734563436564,0.41086164809966386,0.0367599,1.7139316,1.3362461,1.418207469760479,0.0805706391463387
antibody,rg,gyrate_0_50ns.xvg,5005,3.744811615584416,0.2541508667745389,3.282735,4.165035,3.849834,3.980263749500998,0.09383221647989878
antibody,rmsf,rmsf_0_50ns.xvg,658,0.6909044072948329,0.2842296706149223,0.1703,1.5737,1.058,0.6019203007518797,0.20303092008115356
antibody,sasa,sasa_0_50ns.xvg,5005,335.42033706293705,3.2454401267596764,324.648,348.333,332.313,336.76318163672653,2.606267720229949
antibody,sasa_residue,sasa_residue_0_50ns.xvg,658,0.5097537993920973,0.4577294072063357,0,2.167,2.127,0.4602330827067669,0.4505030166249191
antibody,mindist,mindist_0_50ns.xvg,5005,0.1623185966033966,0.006207850820052403,0.1412726,0.1915886,0.1571786,0.16416549710578843,0.006095233484290299
antibody,contacts,contacts_0_50ns.xvg,5005,1679.483116883117,136.31651188152568,1232,2140,1699,1716.1457085828342,127.25671869922171
antibody,hbonds,hbonds_0_50ns.xvg,5005,11.675924075924076,2.2463376736089042,5,21,11,10.907185628742514,1.6969056469640176
antibody,rmsf_chain_antigen,rmsf_0_50ns_Chain_A.xvg,424,0.7084679245283019,0.2582459764619826,0.2889,1.6182,1.1904,0.7640058139534884,0.1758686183120136
antibody,rmsf_chain_heavy,rmsf_0_50ns_Chain_B.xvg,124,0.10083548387096775,0.04810406604106003,0.0397,0.3379,0.3379,0.10341538461538462,0.06539654848572785
antibody,rmsf_chain_light,rmsf_0_50ns_Chain_C.xvg,110,0.08981363636363636,0.042877652863652804,0.0362,0.3174,0.3174,0.08061304347826087,0.059481122325015685
antibody,rmsf_chain_binder,rmsf_0_50ns_Binder.xvg,234,0.10377606837606837,0.04681689865771369,0.0408,0.3478,0.3317,0.09555625000000001,0.051517610730948425
antibody,rmsf_chain_antigen_group,rmsf_0_50ns_Antigen.xvg,424,0.7084679245283019,0.2582459764619826,0.2889,1.6182,1.1904,0.7640058139534884,0.1758686183120136
