file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
IgG_FP_0001.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0001.pdb,True,0,-9.9,5.5e-08,78,4.0,12.0,20.0,8.0,15.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0001_model0
[+] No. of intermolecular contacts: 78
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 12.0
[+] No. of charged-apolar contacts: 20.0
[+] No. of polar-polar contacts: 8.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 40.98
[+] Percentage of charged NIS residues: 18.82
[++] Predicted binding affinity (kcal.mol-1):     -9.9
[++] Predicted dissociation constant (M) at 25.0˚C:  5.5e-08
",
IgG_FP_0002.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0002.pdb,True,0,-11.9,1.9e-09,66,3.0,6.0,10.0,1.0,24.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0002_model0
[+] No. of intermolecular contacts: 66
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 42.63
[+] Percentage of charged NIS residues: 19.06
[++] Predicted binding affinity (kcal.mol-1):    -11.9
[++] Predicted dissociation constant (M) at 25.0˚C:  1.9e-09
",
IgG_FP_0003.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0003.pdb,True,0,-9.4,1.3e-07,67,4.0,13.0,20.0,2.0,8.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0003_model0
[+] No. of intermolecular contacts: 67
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 13.0
[+] No. of charged-apolar contacts: 20.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 8.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 40.92
[+] Percentage of charged NIS residues: 19.56
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.3e-07
",
IgG_FP_0004.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0004.pdb,True,0,-11.3,4.8e-09,62,4.0,13.0,8.0,3.0,23.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0004_model0
[+] No. of intermolecular contacts: 62
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 13.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 23.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 41.47
[+] Percentage of charged NIS residues: 19.25
[++] Predicted binding affinity (kcal.mol-1):    -11.3
[++] Predicted dissociation constant (M) at 25.0˚C:  4.8e-09
",
IgG_FP_0005.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0005.pdb,True,0,-11.0,8.0e-09,83,2.0,4.0,13.0,3.0,20.0,41.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0005_model0
[+] No. of intermolecular contacts: 83
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 41.0
[+] Percentage of apolar NIS residues: 41.24
[+] Percentage of charged NIS residues: 19.12
[++] Predicted binding affinity (kcal.mol-1):    -11.0
[++] Predicted dissociation constant (M) at 25.0˚C:  8.0e-09
",
IgG_FP_0006.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0006.pdb,True,0,-10.9,9.9e-09,67,5.0,9.0,22.0,2.0,14.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0006_model0
[+] No. of intermolecular contacts: 67
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 22.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 41.42
[+] Percentage of charged NIS residues: 19.92
[++] Predicted binding affinity (kcal.mol-1):    -10.9
[++] Predicted dissociation constant (M) at 25.0˚C:  9.9e-09
",
IgG_FP_0007.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0007.pdb,True,0,-11.8,2.4e-09,71,3.0,9.0,17.0,7.0,24.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0007_model0
[+] No. of intermolecular contacts: 71
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 17.0
[+] No. of polar-polar contacts: 7.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 41.39
[+] Percentage of charged NIS residues: 18.22
[++] Predicted binding affinity (kcal.mol-1):    -11.8
[++] Predicted dissociation constant (M) at 25.0˚C:  2.4e-09
",
IgG_FP_0008.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0008.pdb,True,0,-9.8,6.0e-08,73,2.0,11.0,21.0,4.0,12.0,23.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0008_model0
[+] No. of intermolecular contacts: 73
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 11.0
[+] No. of charged-apolar contacts: 21.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 23.0
[+] Percentage of apolar NIS residues: 40.85
[+] Percentage of charged NIS residues: 19.52
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  6.0e-08
",
IgG_FP_0009.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0009.pdb,True,0,-10.2,3.5e-08,57,1.0,3.0,13.0,4.0,17.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0009_model0
[+] No. of intermolecular contacts: 57
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 41.12
[+] Percentage of charged NIS residues: 18.56
[++] Predicted binding affinity (kcal.mol-1):    -10.2
[++] Predicted dissociation constant (M) at 25.0˚C:  3.5e-08
",
IgG_FP_0010.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0010.pdb,True,0,-10.2,3.3e-08,73,5.0,9.0,11.0,10.0,22.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0010_model0
[+] No. of intermolecular contacts: 73
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 10.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 41.73
[+] Percentage of charged NIS residues: 18.50
[++] Predicted binding affinity (kcal.mol-1):    -10.2
[++] Predicted dissociation constant (M) at 25.0˚C:  3.3e-08
",
IgG_FP_0011.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0011.pdb,True,0,-13.8,7.1e-11,85,2.0,8.0,14.0,10.0,38.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0011_model0
[+] No. of intermolecular contacts: 85
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 14.0
[+] No. of polar-polar contacts: 10.0
[+] No. of apolar-polar contacts: 38.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 41.42
[+] Percentage of charged NIS residues: 18.93
[++] Predicted binding affinity (kcal.mol-1):    -13.8
[++] Predicted dissociation constant (M) at 25.0˚C:  7.1e-11
",
IgG_FP_0012.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0012.pdb,True,0,-10.7,1.4e-08,64,1.0,9.0,11.0,8.0,24.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0012_model0
[+] No. of intermolecular contacts: 64
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 8.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 40.74
[+] Percentage of charged NIS residues: 19.49
[++] Predicted binding affinity (kcal.mol-1):    -10.7
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-08
",
IgG_FP_0013.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0013.pdb,True,0,-12.1,1.4e-09,83,5.0,7.0,20.0,2.0,19.0,30.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0013_model0
[+] No. of intermolecular contacts: 83
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 20.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 30.0
[+] Percentage of apolar NIS residues: 40.83
[+] Percentage of charged NIS residues: 19.13
[++] Predicted binding affinity (kcal.mol-1):    -12.1
[++] Predicted dissociation constant (M) at 25.0˚C:  1.4e-09
",
IgG_FP_0014.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0014.pdb,True,0,-14.5,2.2e-11,107,10.0,11.0,19.0,9.0,35.0,23.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0014_model0
[+] No. of intermolecular contacts: 107
[+] No. of charged-charged contacts: 10.0
[+] No. of charged-polar contacts: 11.0
[+] No. of charged-apolar contacts: 19.0
[+] No. of polar-polar contacts: 9.0
[+] No. of apolar-polar contacts: 35.0
[+] No. of apolar-apolar contacts: 23.0
[+] Percentage of apolar NIS residues: 41.58
[+] Percentage of charged NIS residues: 19.21
[++] Predicted binding affinity (kcal.mol-1):    -14.5
[++] Predicted dissociation constant (M) at 25.0˚C:  2.2e-11
",
IgG_FP_0015.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0015.pdb,True,0,-10.0,4.7e-08,60,0.0,12.0,14.0,3.0,16.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0015_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 12.0
[+] No. of charged-apolar contacts: 14.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 41.60
[+] Percentage of charged NIS residues: 18.95
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.7e-08
",
IgG_FP_0016.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0016.pdb,True,0,-10.1,4.1e-08,52,5.0,10.0,12.0,4.0,16.0,5.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0016_model0
[+] No. of intermolecular contacts: 52
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 10.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 5.0
[+] Percentage of apolar NIS residues: 40.98
[+] Percentage of charged NIS residues: 19.80
[++] Predicted binding affinity (kcal.mol-1):    -10.1
[++] Predicted dissociation constant (M) at 25.0˚C:  4.1e-08
",
IgG_FP_0017.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0017.pdb,True,0,-12.9,3.2e-10,82,7.0,8.0,17.0,3.0,25.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0017_model0
[+] No. of intermolecular contacts: 82
[+] No. of charged-charged contacts: 7.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 17.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 41.40
[+] Percentage of charged NIS residues: 19.60
[++] Predicted binding affinity (kcal.mol-1):    -12.9
[++] Predicted dissociation constant (M) at 25.0˚C:  3.2e-10
",
IgG_FP_0018.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0018.pdb,True,0,-10.4,2.5e-08,59,4.0,7.0,12.0,1.0,16.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0018_model0
[+] No. of intermolecular contacts: 59
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 42.58
[+] Percentage of charged NIS residues: 19.14
[++] Predicted binding affinity (kcal.mol-1):    -10.4
[++] Predicted dissociation constant (M) at 25.0˚C:  2.5e-08
",
IgG_FP_0019.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/antibody/IgG_FP_0019.pdb,True,0,-13.3,1.8e-10,92,5.0,17.0,16.0,6.0,30.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure IgG_FP_0019_model0
[+] No. of intermolecular contacts: 92
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 17.0
[+] No. of charged-apolar contacts: 16.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 30.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 41.52
[+] Percentage of charged NIS residues: 18.91
[++] Predicted binding affinity (kcal.mol-1):    -13.3
[++] Predicted dissociation constant (M) at 25.0˚C:  1.8e-10
",
