rank,file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
1,NB_FP_0068.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0068.pdb,True,0,-12.5,6.4e-10,70,1.0,11.0,6.0,6.0,34.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0068_model0
[+] No. of intermolecular contacts: 70
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 11.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 34.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.09
[+] Percentage of charged NIS residues: 18.74
[++] Predicted binding affinity (kcal.mol-1):    -12.5
[++] Predicted dissociation constant (M) at 25.0˚C:  6.4e-10
",
2,NB_FP_0027.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0027.pdb,True,0,-12.3,9.1e-10,81,5.0,7.0,13.0,6.0,29.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0027_model0
[+] No. of intermolecular contacts: 81
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 29.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 43.63
[+] Percentage of charged NIS residues: 19.10
[++] Predicted binding affinity (kcal.mol-1):    -12.3
[++] Predicted dissociation constant (M) at 25.0˚C:  9.1e-10
",
3,NB_FP_0079.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0079.pdb,True,0,-12.0,1.6e-09,67,4.0,5.0,12.0,1.0,24.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0079_model0
[+] No. of intermolecular contacts: 67
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 43.59
[+] Percentage of charged NIS residues: 19.11
[++] Predicted binding affinity (kcal.mol-1):    -12.0
[++] Predicted dissociation constant (M) at 25.0˚C:  1.6e-09
",
4,NB_FP_0253.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0253.pdb,True,0,-11.9,1.7e-09,72,0.0,8.0,15.0,4.0,27.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0253_model0
[+] No. of intermolecular contacts: 72
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 15.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 27.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 44.13
[+] Percentage of charged NIS residues: 18.78
[++] Predicted binding affinity (kcal.mol-1):    -11.9
[++] Predicted dissociation constant (M) at 25.0˚C:  1.7e-09
",
5,NB_FP_0213.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0213.pdb,True,0,-11.8,2.3e-09,71,3.0,9.0,10.0,6.0,29.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0213_model0
[+] No. of intermolecular contacts: 71
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 29.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 43.90
[+] Percentage of charged NIS residues: 19.25
[++] Predicted binding affinity (kcal.mol-1):    -11.8
[++] Predicted dissociation constant (M) at 25.0˚C:  2.3e-09
",
6,NB_FP_0174.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0174.pdb,True,0,-11.6,3.3e-09,62,2.0,5.0,13.0,3.0,24.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0174_model0
[+] No. of intermolecular contacts: 62
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 43.39
[+] Percentage of charged NIS residues: 19.03
[++] Predicted binding affinity (kcal.mol-1):    -11.6
[++] Predicted dissociation constant (M) at 25.0˚C:  3.3e-09
",
7,NB_FP_0087.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0087.pdb,True,0,-11.3,4.8e-09,58,4.0,7.0,6.0,3.0,25.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0087_model0
[+] No. of intermolecular contacts: 58
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 43.38
[+] Percentage of charged NIS residues: 18.49
[++] Predicted binding affinity (kcal.mol-1):    -11.3
[++] Predicted dissociation constant (M) at 25.0˚C:  4.8e-09
",
8,NB_FP_0089.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0089.pdb,True,0,-11.2,5.8e-09,66,4.0,9.0,15.0,2.0,20.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0089_model0
[+] No. of intermolecular contacts: 66
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 15.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 42.63
[+] Percentage of charged NIS residues: 20.05
[++] Predicted binding affinity (kcal.mol-1):    -11.2
[++] Predicted dissociation constant (M) at 25.0˚C:  5.8e-09
",
9,NB_FP_0160.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0160.pdb,True,0,-11.2,5.6e-09,66,1.0,2.0,13.0,1.0,21.0,28.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0160_model0
[+] No. of intermolecular contacts: 66
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 28.0
[+] Percentage of apolar NIS residues: 43.09
[+] Percentage of charged NIS residues: 18.89
[++] Predicted binding affinity (kcal.mol-1):    -11.2
[++] Predicted dissociation constant (M) at 25.0˚C:  5.6e-09
",
10,NB_FP_0014.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0014.pdb,True,0,-11.1,6.8e-09,64,1.0,4.0,6.0,11.0,32.0,10.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0014_model0
[+] No. of intermolecular contacts: 64
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 11.0
[+] No. of apolar-polar contacts: 32.0
[+] No. of apolar-apolar contacts: 10.0
[+] Percentage of apolar NIS residues: 42.76
[+] Percentage of charged NIS residues: 18.93
[++] Predicted binding affinity (kcal.mol-1):    -11.1
[++] Predicted dissociation constant (M) at 25.0˚C:  6.8e-09
",
